Participant_ID,Task_ID,Task_Family,Interface_ID,Interface,Trial_number,Time,Interface_Familiarity,Task_Status
2,1,Translational,1,Spacemouse,1,23.12,1,Successful
2,1,Translational,2,Joystick,2,28.93,4,Successful
2,1,Translational,3,VR,1,76.25,3,Successful
2,3,Rotational,1,Spacemouse,2,43.96,1,Successful
2,3,Rotational,2,Joystick,1,39.93,4,Successful
2,3,Rotational,3,VR,2,51.38,3,Successful
2,5,Stationary,1,Spacemouse,1,38.95,1,Successful
2,5,Stationary,2,Joystick,1,50.57,4,Successful
2,5,Stationary,3,VR,2,84.16,3,Successful
2,7,Deforming,1,Spacemouse,2,32.25,1,Successful
2,7,Deforming,2,Joystick,1,27.49,4,Successful
2,7,Deforming,3,VR,1,48.76,3,Successful
3,1,Translational,1,Spacemouse,1,24.83,1,Successful
3,1,Translational,2,Joystick,1,20.05,5,Successful
3,1,Translational,3,VR,1,41.77,3,Successful
3,3,Rotational,1,Spacemouse,2,36.53,1,Successful
3,3,Rotational,2,Joystick,1,41.95,5,Successful
3,3,Rotational,3,VR,2,151.43,3,Successful
3,5,Stationary,1,Spacemouse,1,37.8,1,Successful
3,5,Stationary,2,Joystick,1,41.07,5,Successful
3,5,Stationary,3,VR,1,67.17,3,Successful
3,7,Deforming,1,Spacemouse,2,35.89,1,Successful
3,7,Deforming,2,Joystick,1,36.83,5,Successful
3,7,Deforming,3,VR,1,38.54,3,Successful
4,1,Translational,1,Spacemouse,1,34.62,1,Successful
4,1,Translational,2,Joystick,1,27.47,5,Successful
4,1,Translational,3,VR,1,69.59,5,Successful
4,3,Rotational,1,Spacemouse,1,67.23,1,Successful
4,3,Rotational,2,Joystick,1,60.77,5,Successful
4,3,Rotational,3,VR,1,92.35,5,Successful
4,5,Stationary,1,Spacemouse,1,45.54,1,Successful
4,5,Stationary,2,Joystick,2,47.63,5,Successful
4,5,Stationary,3,VR,1,91.19,5,Successful
4,7,Deforming,1,Spacemouse,1,29.86,1,Successful
4,7,Deforming,2,Joystick,2,51.2,5,Successful
4,7,Deforming,3,VR,1,82.78,5,Successful
5,1,Translational,1,Spacemouse,1,26.4,1,Successful
5,1,Translational,2,Joystick,2,24.41,5,Successful
5,1,Translational,3,VR,2,39.99,3,Successful
5,3,Rotational,1,Spacemouse,1,54.17,1,Successful
5,3,Rotational,2,Joystick,1,38.47,5,Successful
5,3,Rotational,3,VR,1,85.89,3,Successful
5,5,Stationary,1,Spacemouse,1,72.89,1,Successful
5,5,Stationary,2,Joystick,2,48.47,5,Successful
5,5,Stationary,3,VR,1,0.3,3,Successful
5,7,Deforming,1,Spacemouse,1,48.51,1,Successful
5,7,Deforming,2,Joystick,1,35.66,5,Successful
5,7,Deforming,3,VR,2,55.59,3,Successful
